Location,Indicator,Subject,Measure,Year,Month,Frequency,Value
ESP,HUR,TOT,PC_LF,2020,05,M,15.6
ESP,HUR,TOT,PC_LF,2020,06,M,15.9
ESP,HUR,TOT,PC_LF,2020,07,M,16.9
ESP,HUR,TOT,PC_LF,2020,08,M,16.6
ESP,HUR,TOT,PC_LF,2020,09,M,16.3
ESP,HUR,TOT,PC_LF,2020,10,M,16.2
SWE,HUR,TOT,PC_LF,2020,01,M,7.2
SWE,HUR,TOT,PC_LF,2020,02,M,7.6
SWE,HUR,TOT,PC_LF,2020,03,M,6.8
SWE,HUR,TOT,PC_LF,2020,04,M,7.9
SWE,HUR,TOT,PC_LF,2020,05,M,8.4
SWE,HUR,TOT,PC_LF,2020,06,M,9.2
SWE,HUR,TOT,PC_LF,2020,07,M,9.1
SWE,HUR,TOT,PC_LF,2020,08,M,9.1
SWE,HUR,TOT,PC_LF,2020,09,M,8.9
SWE,HUR,TOT,PC_LF,2020,10,M,8.6
TUR,HUR,TOT,PC_LF,2020,01,M,12.6
TUR,HUR,TOT,PC_LF,2020,02,M,12.6
TUR,HUR,TOT,PC_LF,2020,03,M,12.9
TUR,HUR,TOT,PC_LF,2020,04,M,13.6
TUR,HUR,TOT,PC_LF,2020,05,M,14.0
TUR,HUR,TOT,PC_LF,2020,06,M,14.3
TUR,HUR,TOT,PC_LF,2020,07,M,13.8
TUR,HUR,TOT,PC_LF,2020,08,M,13.3
GBR,HUR,TOT,PC_LF,2020,01,M,3.9
GBR,HUR,TOT,PC_LF,2020,02,M,3.9
GBR,HUR,TOT,PC_LF,2020,03,M,3.8
GBR,HUR,TOT,PC_LF,2020,04,M,3.7
GBR,HUR,TOT,PC_LF,2020,05,M,3.7
GBR,HUR,TOT,PC_LF,2020,06,M,3.9
GBR,HUR,TOT,PC_LF,2020,07,M,4.3
GBR,HUR,TOT,PC_LF,2020,08,M,4.6
USA,HUR,TOT,PC_LF,2020,01,M,3.6
USA,HUR,TOT,PC_LF,2020,02,M,3.5
USA,HUR,TOT,PC_LF,2020,03,M,4.4
USA,HUR,TOT,PC_LF,2020,04,M,14.7
USA,HUR,TOT,PC_LF,2020,05,M,13.3
USA,HUR,TOT,PC_LF,2020,06,M,11.1
USA,HUR,TOT,PC_LF,2020,07,M,10.2
USA,HUR,TOT,PC_LF,2020,08,M,8.4
USA,HUR,TOT,PC_LF,2020,09,M,7.9
USA,HUR,TOT,PC_LF,2020,10,M,6.9
CHL,HUR,TOT,PC_LF,2020,01,M,8.107676
CHL,HUR,TOT,PC_LF,2020,02,M,8.184627
CHL,HUR,TOT,PC_LF,2020,03,M,9.063102
CHL,HUR,TOT,PC_LF,2020,04,M,10.887
CHL,HUR,TOT,PC_LF,2020,05,M,11.75774
CHL,HUR,TOT,PC_LF,2020,06,M,12.32086
CHL,HUR,TOT,PC_LF,2020,07,M,12.2765
CHL,HUR,TOT,PC_LF,2020,08,M,11.96223
CHL,HUR,TOT,PC_LF,2020,09,M,11.520560000000001
EST,HUR,TOT,PC_LF,2020,01,M,4.7
EST,HUR,TOT,PC_LF,2020,02,M,4.7
EST,HUR,TOT,PC_LF,2020,03,M,4.8
EST,HUR,TOT,PC_LF,2020,04,M,6.0
EST,HUR,TOT,PC_LF,2020,05,M,7.0
EST,HUR,TOT,PC_LF,2020,06,M,8.0
EST,HUR,TOT,PC_LF,2020,07,M,7.8
EST,HUR,TOT,PC_LF,2020,08,M,8.0
EST,HUR,TOT,PC_LF,2020,09,M,8.1
ISR,HUR,TOT,PC_LF,2020,01,M,3.612252
ISR,HUR,TOT,PC_LF,2020,02,M,3.40835
ISR,HUR,TOT,PC_LF,2020,03,M,3.5875169999999996
ISR,HUR,TOT,PC_LF,2020,04,M,3.6551050000000003
ISR,HUR,TOT,PC_LF,2020,05,M,4.260135
ISR,HUR,TOT,PC_LF,2020,06,M,4.645301
ISR,HUR,TOT,PC_LF,2020,07,M,4.6854569999999995
ISR,HUR,TOT,PC_LF,2020,08,M,4.887446
ISR,HUR,TOT,PC_LF,2020,09,M,4.644665
ISR,HUR,TOT,PC_LF,2020,10,M,4.711226
SVN,HUR,TOT,PC_LF,2020,01,M,4.1
SVN,HUR,TOT,PC_LF,2020,02,M,4.2
SVN,HUR,TOT,PC_LF,2020,03,M,4.5
SVN,HUR,TOT,PC_LF,2020,04,M,5.4
SVN,HUR,TOT,PC_LF,2020,05,M,5.5
SVN,HUR,TOT,PC_LF,2020,06,M,5.3
SVN,HUR,TOT,PC_LF,2020,07,M,4.8
SVN,HUR,TOT,PC_LF,2020,08,M,4.7
SVN,HUR,TOT,PC_LF,2020,09,M,4.7
SVN,HUR,TOT,PC_LF,2020,10,M,4.9
EU28,HUR,TOT,PC_LF,2020,01,M,6.2
OECD,HUR,TOT,PC_LF,2020,01,M,5.267261
OECD,HUR,TOT,PC_LF,2020,02,M,5.211412999999999
OECD,HUR,TOT,PC_LF,2020,03,M,5.589519999999999
OECD,HUR,TOT,PC_LF,2020,04,M,8.747764
OECD,HUR,TOT,PC_LF,2020,05,M,8.680347
OECD,HUR,TOT,PC_LF,2020,06,M,8.282507
OECD,HUR,TOT,PC_LF,2020,07,M,8.147287
OECD,HUR,TOT,PC_LF,2020,08,M,7.524984
OECD,HUR,TOT,PC_LF,2020,09,M,7.33025
G-7,HUR,TOT,PC_LF,2020,01,M,4.1881010000000005
G-7,HUR,TOT,PC_LF,2020,02,M,4.162116999999999
G-7,HUR,TOT,PC_LF,2020,03,M,4.652221
G-7,HUR,TOT,PC_LF,2020,04,M,9.130074
G-7,HUR,TOT,PC_LF,2020,05,M,8.724729
G-7,HUR,TOT,PC_LF,2020,06,M,7.81353
G-7,HUR,TOT,PC_LF,2020,07,M,7.648885000000001
G-7,HUR,TOT,PC_LF,2020,08,M,6.887187
G-7,HUR,TOT,PC_LF,2020,09,M,6.568295
G-7,HUR,TOT,PC_LF,2020,10,M,6.161926
EA19,HUR,TOT,PC_LF,2020,01,M,7.3
EA19,HUR,TOT,PC_LF,2020,02,M,7.2
